Yes,כֵּן,יֶס
No,לֹא,נוֹ
Mother,אִמָּא,מֹודֵר
Father,אַבָּא,פַדֵר
Brother,אָח,ברוֹדֵר
Sister,אָחוֹת,סִיסתֵר
Baby,תִּינוֹק,בֶּייבִּי
Red,אָדֹם,רֶד
Blue,כָּחֹל,בּלוּ
Yellow,צָהֹב,יֶלוֹ
Green,יָרֹק,גּרִין
Orange,כָּתֹם,אוֹרֵנְג׳
Purple,סָגֹל,פַּוּרפְּל
Black,שָׁחֹר,בּלָק
White,לָבָן,וּאָיית
Zero,0,זֵרוֹ
One,1,וּאוֹן
Two,2,טוּ
Three,3,סרִי
Four,4,פוּר
Five,5,פָייב
Six,6,סִקס
Seven,7,סֶבֵן
Eight,8,אֶייט
Nine,9,נָיין
Ten,10,טֶן
Dog,כֶּלֶב,דוֹג
Cat,חָתוּל,קָת
Bird,צִפּוֹר,בֵּרד
Fish,דָּג,פִישׁ
Horse,סוּס,הוֹרס
Cow,פָּרָה,קָאוֹ
Pig,חֲזִיר,פִּיג
Sheep,כֶּבֶשׂ,שִׁיפּ
Lion,אַרְיֵה,לָיוֹן
Bear,דֹּב,בִּיר
Duck,בַּרְוָז,דַק
Mouse,עַכְבָּר,מָאוּס
Head,רֹאשׁ,הֶד
Eye,עַיִן,אָיי
Nose,אַף,נוֹז
Mouth,פֶּה,מָאוּף
Ears,אָזְנַיִם,אִיר
Hand,יָד,הֶנְד
Feet,רַגְלַיִם,פִט
Leg,רֶגֶל,לֶג
Arm,זְרוֹעַ,אָרְם
Teeth,שִׁנַּיִם,טִיפ
Bed,מִטָּה,בֶּד
Chair,כִּסֵּא,שֶׁר
Table,שֻׁלְחָן,טֶבְּל
Door,דֶּלֶת,דוֹֹר
Window,חַלּוֹן,וּאִינדוֹ
Book,סֵפֶר,בּוּק
Toy,צַעֲצוּעַ,טוֹי
Ball,כַּדּוּר,בּוֹל
Car,מְכוֹנִית,קָר
Shoe,נַעַל,שׁוֹ
Hat,כוֹבַע,הָט
Cup,כּוֹס,קֵפּ
Spoon,כַּפִּית,ספּוּן
Key,מַפְתֵּחַ,קִי
Pen,עֵט,פֶּן
Milk,חָלָב,מִילק
Water,מַיִם,וּאָטֵר
Bread,לֶחֶם,בּרֶד
Apple,תַּפּוּחַ,אָפֵּל
Banana,בָּנָנָה,בָּנָנָה
Cheese,גְּבִינָה,שִׁיז
Egg,בֵּיצָה,אֶג
Cake,עוּגָה,קֶייק
Juice,מִיץ,ג׳וּיס
Cookie,עוּגִיָּה,קוּקִי
Sun,שֶׁמֶשׁ,סַן
Moon,יָרֵחַ,מוּן
Star,כּוֹכָב,סטָר
Sky,שָׁמַיִם,סקָי
Tree,עֵץ,טרִי
Flower,פֶּרַח,פלָאוּאֶר
Rain,גֶּשֶׁם,רֶן
Snow,שֶׁלֶג,סנוֹ
Wind,רוּחַ,וּאִינד
Grass,דֶּשֶׁא,גרָס
Run,לָרוּץ,רַן
Walk,לָלֶכֶת,וּאוֹלק
Sit,לָשֶׁבֶת,סִיט
Stand,לַעֲמֹד,סטָנד
Sleep,לִישֹׁן,סלִיפּ
Eat,לֶאֱכֹל,אִיט
Drink,לִשְׁתּוֹת,דרִינק
Play,לְשַׂחֵק,פּלֶי
Read,לִקְרֹא,רִיד
Jump,לִקְפֹּץ,גָ׳מפּ
Smile,לְחַיֵּךְ,סמָייל
Stop,לַעֲצֹר,סטוֹפּ
Big,גָּדוֹל,בִּיג
Small,קָטָן,סמוֹל
Hot,חַם,הוֹֹט
Cold,קַר,קוֹלד
Happy,שָׂמֵחַ,הָפִּי
Sad,עָצוּב,סָד
Good,טוֹב,גוּד
Bad,רַע,בָּד
Fast,מָהִיר,פָסט
Slow,אִטִּי,סלוֹ
